title,writer,publication,callno,href
상실과 노스탤지어 :근대 일본이라는 역사 경험의 근원을 찾아서,기전순일,"서울 :문학과지성사,2014",306.0953 기전순상심,https://library.cau.ac.kr/#/search/detail/6404766
(공감의 도시를 위한) 커뮤니티디자인,이석현,"서울 :美세움,2014",711.4 이석현커,https://library.cau.ac.kr/#/search/detail/6404659
통합 국제정치학 =Science of international politics :외무영사직 공무원 시험대비,이상구,"서울 :윌비스,2014",327 이상구통합 2015 v.1/2015 v.3/2015 v.4,https://library.cau.ac.kr/#/search/detail/6342376
호텔로열 =Hotel royal :사쿠라기 시노 연작소설집,앵목자내,"서울 :현대문학,2014",813.3 앵목자호양,https://library.cau.ac.kr/#/search/detail/6325105
老齡社會의 人生哲學 :傘壽에 즈음한 삶의 經綸와 智慧,이선호,"서울 :이포출판,2014",128 이선호노2,https://library.cau.ac.kr/#/search/detail/6325100
"영월이야기 :윤주영 사진집 =(The) story of Yeongwol : photographs by Yoon, Chuyung",윤주영,"서울:동강사진박물관,2011",779.2 윤주영영,https://library.cau.ac.kr/#/search/detail/6324996
50인 :우리시대를 이끌어온 사람들 :윤주영 사진집,윤주영,"서울 :방일영문화재단,2008",779.2 윤주영오,https://library.cau.ac.kr/#/search/detail/6324995
피리술사,궁부미유키,"서울 :북스피어,2014",813.3 궁부미읍이,https://library.cau.ac.kr/#/search/detail/6324979
거의 모든 인터넷의 역사 :우리가 지금껏 알지 못했던 인터넷 혁명의 순간들,정지훈,"서울 :메디치,2014",004.678 정지훈거,https://library.cau.ac.kr/#/search/detail/6324888
대프니 듀 모리에,"Du Maurier, Daphne","서울 :현대문학,2014",808.8 세계문단 v.10,https://library.cau.ac.kr/#/search/detail/6306045
만조의 바다 위에서 :이창래 장편소설,"Lee, Chang-rae","서울 :알에이치코리아 :RHK,2014",823 L477o나,https://library.cau.ac.kr/#/search/detail/6306041
주요섭 단편집,주요섭,"서울 :지식을만드는지식,2012",811.3 주요섭주,https://library.cau.ac.kr/#/search/detail/6306002
한밤의 동물원 :소냐 하트넷 장편소설,"Hartnett, Sonya","파주 :돌베개,2014",823 H333m고,https://library.cau.ac.kr/#/search/detail/6288783
"(책 읽어주는 남자,) 10년의 노트",예병일,"파주 :21세기북스,2014",650.1 예병일십,https://library.cau.ac.kr/#/search/detail/6288745
일반물리학,"Halliday, David","서울 :범한서적,2011(2015 7쇄)",530 H188p9경 v.1/v.2,https://library.cau.ac.kr/#/search/detail/6288685
김동리를 말하다 :추모문집,서정주,"서울 :김동리기념사업회 :계간문예,2013",811.081 김동리김,https://library.cau.ac.kr/#/search/detail/6288638
책섬,김한민,"서울 :workroom :워크룸 프레스,2014",811.3 김한민책,https://library.cau.ac.kr/#/search/detail/6288636
IoT/IoE로 주목받는 스마트홈 시장의 실태와 사업전략,임팩트,"서울 :임팩트(Imfact),2014",338.470046 임팩트i,https://library.cau.ac.kr/#/search/detail/6288449
금융공학 =Financial engineering,전인태,"서울 :북스힐,2013",332 전인태금,https://library.cau.ac.kr/#/search/detail/6288364
투명인간 :성석제 장편소설,성석제,"파주 :창비,2014",811.3 성석제투,https://library.cau.ac.kr/#/search/detail/6287900
거장 신화 :클래식 음악의 종말과 권력을 추구한 위대한 지휘자들,"Lebrecht, Norman","서울 :펜타그램,2014",784.20922 L451m김,https://library.cau.ac.kr/#/search/detail/6241316
익스플로링 아두이노,"Blum, Jeremy","서울 :한빛아카데미,2014",621.381 B658a김,https://library.cau.ac.kr/#/search/detail/6241219
